"RSSI, Delt RSRP, Std Dev RSRP, Lat, Long, Altitude, Speed, Classification, Time Elasped"
-51,-1,4.503966505838413,,,,,0,15.01777990200003
-55,2,2.2677868380553634,,,,,0,30.037335115000133
-55,-2,1.6733200530681511,,,,,0,45.05830911499993
-63,0,2.562550812504343,,,,,0,60.07943916099998
-65,-3,2.943920288775949,,,,,0,75.10041501299997
-51,6,12.070625501605125,,,,,0,90.12138515200013
-51,11,11.738824472663351,,,,,0,105.14151618300002
-51,4,2.9268868558020253,,,,,0,120.159801216
-51,4,3.760699023168052,,,,,0,135.18043545499995
-51,-1,3.3022358947782493,,,,,0,150.20075894299998
-51,-2,0.8366600265340756,,,,,0,165.22126361699998
-51,-2,0.8366600265340756,,,,,0,180.24185094099994
-51,-5,1.96638416050035,,,,,0,195.25765086799993
-51,1,1.7224014243685084,,,,,0,210.27265660800003
-51,1,5.472876844254852,,,,,0,225.29204961899995
-51,7,6.945365018348225,,,,,0,240.31230679200007
-51,-1,5.11300861947808,,,,,0,255.33268186700002
-51,5,6.4031242374328485,,,,,0,270.352987151
-51,5,6.4031242374328485,,,,,0,285.372970701
-51,1,2.8784916685156974,4739.3776N,12205.8278W,825.7,7.0,0,300.3932598870001
-51,3,3.352326839390103,4739.3880N,12205.8801W,753.9,6.2,0,315.41170427399993
-51,3,3.352326839390103,4739.4251N,12205.9284W,656.7,7.9,0,330.43107113500014
-51,1,3.4351128074635335,4739.4278N,12205.9410W,626.3,6.7,0,345.4486476500001
-51,-28,14.48792600754159,4739.4626N,12206.0224W,501.8,7.3,0,360.46616775999996
-63,-17,9.025888691240695,4739.4982N,12206.1083W,400.5,2.1,0,375.48373094700014
-67,-32,16.16683848705945,4739.5052N,12206.1217W,366.0,4.8,0,390.501284598
-65,-3,2.3166067138525404,4739.5041N,12206.1043W,367.1,4.1,0,405.51887576900003
-67,-2,1.8618986725025255,4739.4989N,12206.0980W,366.0,4.0,0,420.53643976800004
-69,-2,1.4960264830861913,4739.5033N,12206.1236W,363.1,2.2,0,435.55401130199994
-51,-9,7.044078904941911,4739.5060N,12206.1319W,346.7,1.5,0,450.57153712000013
-63,-2,3.32665998663324,4739.5060N,12206.1288W,350.4,0.0,0,465.5890433920001
-51,-1,7.201851613763412,4739.5185N,12206.1517W,322.8,0.0,0,480.604257468
-51,-7,2.5071326821120348,4739.5184N,12206.1518W,323.0,0.0,0,495.62192024599995
-51,2,2.6095064302514777,4739.5182N,12206.1516W,323.4,0.0,0,510.63961752499995
-51,-7,2.1491969707422394,4739.5180N,12206.1517W,323.4,0.0,0,525.6571592960001
-51,-5,2.3380903889000244,4739.5178N,12206.1518W,323.5,0.0,0,540.6747177950001
-51,0,2.401388487243717,4739.5131N,12206.1912W,294.5,13.6,0,555.6923046950001
-51,8,4.535048695071164,4739.5058N,12206.1892W,285.6,14.1,0,570.7060490599999
-51,-2,4.020779360604939,4739.5181N,12206.1960W,273.0,6.3,0,585.7237525319999
-51,1,2.503331114069145,4739.5256N,12206.1990W,272.1,3.1,0,600.741816797
-51,6,4.135214625627067,4739.5345N,12206.2047W,255.9,10.9,0,615.7598902740001
-51,5,3.777124126457412,4739.5330N,12206.2298W,244.7,15.6,0,630.7793515569999
-51,0,2.6726124191242437,4739.5331N,12206.2374W,235.9,11.5,0,645.799263503
-51,-34,13.381757305056334,4739.5369N,12206.2615W,237.2,2.3,0,660.818510135
-51,-2,3.644957377763735,4739.5411N,12206.2296W,218.9,10.6,0,675.836284582
-51,-31,11.590225767142474,4739.5618N,12206.2907W,156.2,7.5,0,690.855004728
-51,-29,12.299825782738319,4739.5803N,12206.3027W,131.0,12.7,0,705.8747930040001
-51,0,1.632993161855452,4739.5810N,12206.3150W,116.7,13.1,0,720.8932607730001
-51,-7,3.4351128074635335,4739.5729N,12206.3489W,96.6,7.1,0,735.9130115980001
-51,-6,3.125166662222459,4739.5979N,12206.3266W,82.6,4.5,0,750.9315811860001
-51,-26,16.47321057555772,4739.6049N,12206.3341W,76.5,1.8,0,765.9492038370001
-63,-12,7.635443667528429,4739.6042N,12206.3380W,68.7,0.0,0,780.967770883
-51,-19,11.843422928641308,4739.6050N,12206.3386W,67.7,0.0,0,795.9844634390001
-55,-13,9.521904571390467,4739.6080N,12206.3341W,59.8,7.7,0,810.9995369170001
-55,-13,8.2138095100061,4739.6219N,12206.3232W,46.4,5.9,0,826.018202277
-51,0,2.9944392908634274,4739.6277N,12206.3159W,44.9,4.2,0,841.035913794
-51,13,7.25028735062733,4739.6329N,12206.3137W,38.4,3.1,0,856.0527030769999
-51,12,6.889605697474034,4739.6285N,12206.3358W,32.3,0.0,0,871.0681580770001
-51,12,6.889605697474034,4739.6337N,12206.3341W,30.6,0.0,0,886.0826473239999
-51,15,9.358596760910972,4739.6345N,12206.3340W,30.0,0.0,0,901.1002358759999
-51,12,7.958224257542215,4739.6390N,12206.3399W,19.4,0.0,0,916.1178733650002
-51,13,8.421203397773187,4739.6396N,12206.3407W,18.2,0.0,0,931.1354832869999
-51,14,8.888194417315589,4739.6399N,12206.3412W,17.5,0.0,0,946.1530479840001
-51,12,7.958224257542215,4739.6399N,12206.3412W,17.4,0.0,0,961.170499243
-51,14,8.888194417315589,4739.6399N,12206.3412W,17.4,0.0,0,976.1880675060002
-51,13,8.421203397773187,4739.6399N,12206.3413W,17.2,0.0,0,991.205585074
-51,14,8.888194417315589,4739.6402N,12206.3423W,16.4,0.0,0,1006.2185299550001
-51,15,9.358596760910972,4739.6402N,12206.3425W,16.2,0.0,0,1021.2316879930002
